	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
1053	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Information	2001	
1054	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Real estate and rental and leasing	2001	141301.0
1055	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Professional and business services	2001	60699.0
1056	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Management of companies and enterprises	2001	12291.0
1057	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Administrative and support and waste management and remediation services	2001	24907.0
1058	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Educational services	2001	1191.0
1059	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Health care and social assistance	2001	37860.0
1060	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Arts, entertainment, and recreation	2001	9529.0
1061	37109	FIPS_37109	Lincoln County	Southwest	Centralina	   Accommodation and food services	2001	20143.0
1062	37109	FIPS_37109	Lincoln County	Southwest	Centralina	  Other services (except government and government enterprises)	2001	
1063	37109	FIPS_37109	Lincoln County	Southwest	Centralina	Government and government enterprises	2001	150039.0
1064	37111	FIPS_37111	McDowell County	Northwest	Region C	  Agriculture, forestry, fishing and hunting	2001	35297.0
1065	37111	FIPS_37111	McDowell County	Northwest	Region C	  Mining, quarrying, and oil and gas extraction	2001	164.0
1066	37111	FIPS_37111	McDowell County	Northwest	Region C	  Utilities	2001	1523.0
1067	37111	FIPS_37111	McDowell County	Northwest	Region C	  Construction	2001	43236.0
1068	37111	FIPS_37111	McDowell County	Northwest	Region C	  Manufacturing	2001	758127.0
1069	37111	FIPS_37111	McDowell County	Northwest	Region C	  Wholesale trade	2001	16510.0
1070	37111	FIPS_37111	McDowell County	Northwest	Region C	  Retail trade	2001	57967.0
1071	37111	FIPS_37111	McDowell County	Northwest	Region C	  Transportation and warehousing	2001	
1072	37111	FIPS_37111	McDowell County	Northwest	Region C	  Information	2001	4996.0
1073	37111	FIPS_37111	McDowell County	Northwest	Region C	   Real estate and rental and leasing	2001	82467.0
1074	37111	FIPS_37111	McDowell County	Northwest	Region C	  Professional and business services	2001	
1075	37111	FIPS_37111	McDowell County	Northwest	Region C	   Management of companies and enterprises	2001	
1076	37111	FIPS_37111	McDowell County	Northwest	Region C	   Administrative and support and waste management and remediation services	2001	6908.0
1077	37111	FIPS_37111	McDowell County	Northwest	Region C	   Educational services	2001	
1078	37111	FIPS_37111	McDowell County	Northwest	Region C	   Health care and social assistance	2001	
1079	37111	FIPS_37111	McDowell County	Northwest	Region C	   Arts, entertainment, and recreation	2001	2916.0
1080	37111	FIPS_37111	McDowell County	Northwest	Region C	   Accommodation and food services	2001	19802.0
1081	37111	FIPS_37111	McDowell County	Northwest	Region C	  Other services (except government and government enterprises)	2001	22143.0
1082	37111	FIPS_37111	McDowell County	Northwest	Region C	Government and government enterprises	2001	111291.0
1083	37113	FIPS_37113	Macon County	Western	Southwestern	  Agriculture, forestry, fishing and hunting	2001	
1084	37113	FIPS_37113	Macon County	Western	Southwestern	  Mining, quarrying, and oil and gas extraction	2001	6607.0
1085	37113	FIPS_37113	Macon County	Western	Southwestern	  Utilities	2001	
1086	37113	FIPS_37113	Macon County	Western	Southwestern	  Construction	2001	84457.0
