,County	Collections
1042,Pasquotank	1926429.0
1043,Pasquotank	1857123.0
1044,Pasquotank	2228974.0
1045,Pasquotank	2416905.0
1046,Pasquotank	2411810.0
1047,Pasquotank	1802389.0
1048,Pasquotank	2327946.0
1049,Pasquotank	2278021.0
1050,Pender	2879835.0
1051,Pender	1790367.0
1052,Pender	2525209.0
1053,Pender	2181987.0
1054,Pender	1800869.0
1055,Pender	1827440.0
1056,Pender	2139318.0
1057,Pender	2311284.0
1058,Pender	2041145.0
1059,Pender	2415070.0
1060,Pender	2005716.0
1061,Pender	2262607.0
1062,Pender	2632380.0
1063,Pender	2060463.0
1064,Pender	2878893.0
1065,Perquimans	290793.0
1066,Perquimans	235917.0
1067,Perquimans	328869.0
1068,Perquimans	257215.0
1069,Perquimans	222317.0
1070,Perquimans	256250.0
1071,Perquimans	265035.0
1072,Perquimans	306879.0
1073,Perquimans	260917.0
1074,Perquimans	204707.0
1075,Perquimans	262334.0
1076,Perquimans	305995.0
1077,Perquimans	251060.0
1078,Perquimans	333391.0
1079,Perquimans	271700.0
1080,Person	1446073.0
1081,Person	1349602.0
1082,Person	1540054.0
1083,Person	1400732.0
1084,Person	1311993.0
1085,Person	1439777.0
1086,Person	1363028.0
1087,Person	1275949.0
1088,Person	1438962.0
1089,Person	1436071.0
1090,Person	1443841.0
